Project Name,Phase,Planned Duration,Actual Duration,Project Budget,Estimate of Actual Costs-End of Phase,Total Phase Actual Spending
2M131PACE HIGH SCHOOL - MANHATTANDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,75,76,35000,35000,34738
2M158P.S. 158 - MANHATTANSCA CIPMASONRY/FLOOD ELIMINATION/ ROOFS/WINDOWS/PARAPETS,Scope,136,185,387885,296357,282444
2M158P.S. 158 - MANHATTANSCA CIPMASONRY/FLOOD ELIMINATION/ ROOFS/WINDOWS/PARAPETS,Design,190,174,1551540,910011,807440
2M158P.S. 158 - MANHATTANSCA CIPMASONRY/FLOOD ELIMINATION/ ROOFS/WINDOWS/PARAPETS,Construction,1094,1046,29091375,27407880,27142386
2M158P.S. 158 - MANHATTANSCA CIPMASONRY/FLOOD ELIMINATION/ ROOFS/WINDOWS/PARAPETS,"CM, F&E",1094,1046,1810130,774254,773560
2M158P.S. 158 - MANHATTANSCA CIP RESOAFY14 RESO A ROOFS,Scope,135,179,0,56320,47846
2M158P.S. 158 - MANHATTANSCA CIP RESOAFY14 RESO A IP SURVEILLANCE CAMERA,Scope,126,45,0,4225,4225
2M158P.S. 158 - MANHATTANDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,264,113,35000,34737,34737
2M167I.S. 167 - MANHATTANSCA CIPFACADE DAMAGE/SITE WORK/FLOOD/PARAPET/WINDOWS/ROOF,Scope,137,350,142673,110879,110879
2M167I.S. 167 - MANHATTANSCA CIPFACADE DAMAGE/SITE WORK/FLOOD/PARAPET/WINDOWS/ROOF,Design,152,189,547146,571880,423800
9X400BRONX INTERNATIONAL - BRONXSCA CIPTERRA COTTA REPL/FLOOD/ROOFS/WINDOW/INTERIOR SPACE,Scope,141,141,586154,270151,254098
9X400BRONX INTERNATIONAL - BRONXSCA CIPTERRA COTTA REPL/FLOOD/ROOFS/WINDOW/INTERIOR SPACE,Design,158,290,2327215,1334162,850588
9X400BRONX INTERNATIONAL - BRONXSCA CIPIP DIGITAL VIDEO SURVEILLANCE SYSTEM,Scope,121,42,5723,2898,2898
9X400MORRIS COLLAB HS TECH & HUMANSCA CIP RESOAFY16 RESO A LIBRARY UPGRADE,Scope,121,95,0,19212,19212
9X400MORRIS COLLAB HS TECH & HUMANSCA CIP RESOAFY16 RESO A LIBRARY UPGRADE,Design,138,126,90000,86348,86342
9X400HIGH SCHOOL FOR EXCELLENCE - XDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,245,107,53000,52602,52602
9X400HIGH SCHOOL FOR EXCELLENCE - XDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,245,107,75000,74438,74438
9X410HS OF BUSINESS - BRONXSCA CIPATHLETIC FIELD RETAINING WALL,Scope,121,295,18300,42964,41628
9X410HS OF BUSINESS - BRONXSCA CIPATHLETIC FIELD RETAINING WALL,Design,128,150,73200,70055,51189
9X410HS OF BUSINESS - BRONXSCA CIPIP SURVEILLANCE CAMERAS,Scope,120,251,15334,15033,15033
9X410HS OF BUSINESS - BRONXSCA CIPIP SURVEILLANCE CAMERAS,Design,182,70,56224,60346,60346
9X862MOTT HALL CHARTER SCHOOLSCA CIPLOW VOLTAGE ELECTRICAL SYSTEM,Scope,91,44,3534,884,884
9X862MOTT HALL CHARTER SCHOOLSCA CIPLOW VOLTAGE ELECTRICAL SYSTEM,Design,154,86,12957,3732,3599
10X003P.S. 3 - BRONXSCA CIPHVAC CONTROLS/VENTILATION,Scope,151,142,80820,73092,73092
10X003P.S. 3 - BRONXSCA CIPHVAC CONTROLS/VENTILATION,Design,155,248,323280,499999,268824
10X003P.S. 3 - BRONXSCA CIPDTERIORATED COPING STONES/PAVED AREA CONCRETE/ROOF,Scope,136,227,65691,56983,56361
10X003P.S. 3 - BRONXSCA CIPDTERIORATED COPING STONES/PAVED AREA CONCRETE/ROOF,Design,153,161,251895,254341,213293
10X007P.S. 7 - BRONXSCA CIP RESOAFY16 RESO A SUPPLEMENTAL COOLING,Scope,61,57,0,1635,1635
10X007P.S. 7 - BRONXSCA CIP RESOAFY16 RESO A SUPPLEMENTAL COOLING,Design,97,75,12000,5023,5023
10X008P.S. 8 - BRONXSCA CIP RESOAFY16 RESO A AUDITORIUM UPGRADE,Scope,125,47,0,14339,14339
10X008P.S. 8 - BRONXSCA CIP RESOAFY16 RESO A AUDITORIUM UPGRADE,Design,152,92,25997,61283,59863
10X008P.S. 8 - BRONXSCA CIP RESOAFY16 RESO A AUDITORIUM UPGRADE,Construction,269,254,381294,200078,74801
10X008P.S. 8 - BRONXSCA CIP RESOAFY16 RESO A AUDITORIUM UPGRADE,"CM, F&E",269,254,25997,25897,25355
10X008P.S. 8 - BRONXDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,259,142,50000,49625,49625
10X008P.S. 8 - BRONXDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,259,142,100000,99248,99248
10X009P.S. 9 - BRONXSCA CIPPLANYC BOILER CNVSN/PLANYC CLIMATE CTRL,Scope,154,62,111868,95763,95763
10X009P.S. 9 - BRONXSCA CIPPLANYC BOILER CNVSN/PLANYC CLIMATE CTRL,Design,153,168,438314,411892,398377
10X009P.S. 9 - BRONXDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,30,77,76250,75678,75678
10X015P.S.15 - BRONXSCA CIPWATER PENETRATION,Scope,139,381,29010,41667,40256
10X015P.S.15 - BRONXSCA CIPWATER PENETRATION,Design,150,325,106370,80475,71807
10X023P.S. 23 - BRONXSCA CIP RESOAFY17 RESO A PLAYGROUND REDEVELOPMENT,Scope,91,55,0,10101,10101
10X023P.S. 23 - BRONXSCA CIP RESOAFY17 RESO A PLAYGROUND REDEVELOPMENT,Design,134,74,28500,62940,29744
10X024P.S. 24 - BRONXSCA CIPC OF O/FIRE ALARM/PLANYC BOILER/PLANYC CLIMATE CTR,Scope,387,275,117946,96403,90534
10X024P.S. 24 - BRONXSCA CIPC OF O/FIRE ALARM/PLANYC BOILER/PLANYC CLIMATE CTR,Design,156,189,461943,277227,275565
10X032P.S. 32 - BRONXSCA CIPEXTERIOR MASONRY/WINDOWS/PARAPETS,Scope,144,110,94294,94217,94217
10X032P.S. 32 - BRONXSCA CIPEXTERIOR MASONRY/WINDOWS/PARAPETS,Design,150,133,376703,451658,349047
10X032P.S. 32 - BRONXSCA CIP RESOAFY17 RESO A IP SURVEILLANCE CAMERA INSTALLATION,Scope,126,58,0,1689,1689
10X033P.S. 33 - BRONXSCA CIPPLANYC BOILER CNVSN/PLANYC CLIMATE CTRL,Scope,154,32,72435,91945,91945
10X033P.S. 33 - BRONXSCA CIPPLANYC BOILER CNVSN/PLANYC CLIMATE CTRL,Design,159,117,289740,302136,301930
10X046P.S. 46 - BRONXSCA CapacityADDITION,Scope,152,183,2111950,1385273,1374474
10X046P.S. 46 - BRONXSCA CapacityADDITION,Design,179,318,6758240,4029100,2574699
10X046P.S. 46 - BRONXSCA CIPEXT MASONRY/FLOOD/PARAPETS/ROOFS,Scope,137,137,148872,234167,231131
10X046P.S. 46 - BRONXSCA CIPEXT MASONRY/FLOOD/PARAPETS/ROOFS,Design,154,351,582183,319020,310097
2M167I.S. 167 - MANHATTANSCA CIP RESOAFY18 RESO A SUPPLEMENTAL COOLING,Scope,63,16,0,137,137
2M167I.S. 167 - MANHATTANDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,30,60,100000,99250,99250
2M167I.S. 167 - MANHATTANDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,30,60,230000,228268,228268
2M183P.S. 183 - MANHATTANSCA CIPEXTERIOR MASONRY/FLOOD ELIMINATION/ PARAPETS/ROOFS,Scope,139,147,201197,214223,214223
2M183P.S. 183 - MANHATTANSCA CIPEXTERIOR MASONRY/FLOOD ELIMINATION/ PARAPETS/ROOFS,Design,156,234,789355,463204,447808
2M183P.S. 183 - MANHATTANSCA CIPPLANYC BOILER/PLANYC CLIMATE CONTROL/VENTILATION,Scope,154,53,79770,43306,43306
2M183P.S. 183 - MANHATTANSCA CIPPLANYC BOILER/PLANYC CLIMATE CONTROL/VENTILATION,Design,154,95,310679,174705,173202
2M190P.S. 290 - MANHATTANSCA CIP RESOAFY15 RESO A - GREENROOF,Scope,154,355,0,145249,141883
2M198P.S. 198 - MANHATTANSCA CIPWINDOWS/ROOFS/PARAPETS,Scope,137,182,124905,93414,93414
2M198P.S. 198 - MANHATTANSCA CIPWINDOWS/ROOFS/PARAPETS,Design,159,553,494872,382890,320192
2M198P.S. 198 - MANHATTANSCA CIP RESOAFY16 RESO A CAFETERIA UPGRADE,Scope,123,70,0,8861,8861
2M198P.S. 198 - MANHATTANSCA CIP RESOAFY16 RESO A CAFETERIA UPGRADE,Design,135,105,17181,32751,32751
2M198P.S. 198 - MANHATTANSCA CIP RESOAFY16 RESO A CAFETERIA UPGRADE,Construction,149,99,251991,134527,37227
2M198P.S. 198 - MANHATTANSCA CIP RESOAFY16 RESO A CAFETERIA UPGRADE,"CM, F&E",149,99,125324,129695,129352
2M198P.S. 198 - MANHATTANSCA CIP RESOAFY17 RESO A SUPPLEMENTAL COOLING,Scope,62,29,0,11600,11600
2M198P.S. 198 - MANHATTANDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,259,84,35000,34737,34737
2M271P.S./I.S. 217 - MANHATTANSCA CIP RESOAFY14 RESO A GREEN ROOF,Scope,138,69,0,24264,24264
2M271P.S./I.S. 217 - MANHATTANSCA CIP RESOAFY14 RESO A GREEN ROOF,Design,156,486,89100,79776,45944
2M276P.S./I.S. 276 - MANHATTANDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,238,87,100000,99250,99250
2M323I.S. 323 - MANHATTANSCA CapacityNEW SCHOOL,Scope,54,75,2470500,2014659,2014653
2M323I.S. 323 - MANHATTANSCA CapacityNEW SCHOOL,Design,216,385,7905600,6600187,6110071
2M323M000 - MANHATTANSCA CIP RESOAFY17 RESO A GREEN ROOF,Scope,0,0,0,0,0
2M323M000 - MANHATTANSCA CIP RESOAFY17 RESO A GREEN ROOF,Design,153,99,21000,21000,0
2M440HUMANITIES PREPARATORY ACADSCA CIP RESOAFY14 RESO A ELECTRICAL UPGRADE,Scope,121,226,0,20579,20579
2M440HUMANITIES PREPARATORY ACADSCA CIP RESOAFY14 RESO A ELECTRICAL UPGRADE,Design,139,379,43500,72485,70296
2M440LANDMARK HS - MANHATTANDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,238,94,100000,99220,99220
2M440LANDMARK HS - MANHATTANDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,238,94,101000,100243,100243
2M445NEW DESIGN HS - MANHATTANSCA CIPIP DIGITAL VIDEO SURVEILLANCE SYSTEM,Scope,124,56,10476,1868,1868
2M460WASHINGTON IRVING H.S.SCA CIPWATER STORAGE TANK,Scope,125,174,23790,71644,71644
2M460WASHINGTON IRVING H.S.SCA CIPWATER STORAGE TANK,Design,205,177,83266,236298,204520
2M460WASHINGTON IRVING HS - MSCA CIPEXT. MASONRY/ROOF/PARAPET/ FLOOD ELIM./WINDOWS/GYM,Scope,138,306,663906,220619,217479
2M460WASHINGTON IRVING HS - MSCA CIPEXT. MASONRY/ROOF/PARAPET/ FLOOD ELIM./WINDOWS/GYM,Design,153,363,2645233,1089400,774077
2M460GRAMERCY ARTS HS - MANHATTANSCA CIPIP SURVEILLANCE CAMERAS,Scope,129,117,11624,4157,4157
2M460GRAMERCY ARTS HS - MANHATTANSCA CIPIP SURVEILLANCE CAMERAS,Design,181,110,42620,16758,16724
2M460WASHINGTON IRVING HS - MANHATTSCA CIPELECTRICAL SYSTEMS/PA SYSTEM,Scope,52,106,93315,113598,113598
2M460WASHINGTON IRVING HS - MANHATTSCA CIPELECTRICAL SYSTEMS/PA SYSTEM,Design,124,120,373260,403814,360611
10X056P.S. 56 - BRONXSCA CapacityADDITION,Scope,179,179,994460,1029014,1029014
10X056P.S. 56 - BRONXSCA CapacityADDITION,Design,189,254,3729225,3700115,3453757
10X056P.S. 56 - BRONXSCA CapacityADDITION,Construction,759,847,55938375,57470437,53089245
10X056P.S. 56 - BRONXSCA CapacityADDITION,"CM,Art,F&E",759,847,7309835,7000491,6480714
10X079P.S. 382 - BRONXSCA CIPDAMAGE STONE/PARAPETS/ROOFS/WINDOWS,Scope,187,182,365670,107682,105579
10X079P.S. 382 - BRONXSCA CIPDAMAGE STONE/PARAPETS/ROOFS/WINDOWS,Design,153,146,1462680,414499,413067
10X080P.S. 280 - BRONXSCA CIP RESOAFY17 RESO A AUDITORIUM  UPGRADE,Scope,57,51,0,7746,609
10X081P.S. 81 - BRONXSCA CIPWINDOW/ROOFS/EXT MASONRY/FLOOD,Scope,139,167,78375,70511,70511
10X081P.S. 81 - BRONXSCA CIPWINDOW/ROOFS/EXT MASONRY/FLOOD,Design,150,441,292723,254362,188646
10X081P.S. 81 - BRONXDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,241,124,100000,99249,99249
10X085P.S. 85 - BRONXSCA CIPEXT MASONRY/PARAPETS/ROOFS/SECURITY LIGHTING/FLOOD,Scope,139,129,162989,132035,132017
10X085P.S. 85 - BRONXSCA CIPEXT MASONRY/PARAPETS/ROOFS/SECURITY LIGHTING/FLOOD,Design,152,191,638198,505201,398543
10X086P.S. 86 - BRONXSCA CIPPARAPETS,Scope,0,0,9780,5591,5591
10X086P.S. 86 - BRONXSCA CIPPARAPETS,Design,153,75,35860,22365,22365
10X094P.S. 94 - BRONXDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,30,79,50000,49625,49625
10X095P.S. 95 - BRONXSCA CIPDEFECTIVE MASONRY/PARAPETS,Scope,139,38,114135,52162,52162
10X095P.S. 95 - BRONXSCA CIPDEFECTIVE MASONRY/PARAPETS,Design,159,97,456540,41452,41313
10X095P.S. 95 - BRONXDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,30,114,50000,49624,49624
10X115I.S. 459 - BRONXSCA CIPREPAIR STEPS & VPS/ROOFS/PARTIAL ACCESSIBILITY,Scope,141,141,53250,49996,49595
10X115I.S. 459 - BRONXSCA CIPREPAIR STEPS & VPS/ROOFS/PARTIAL ACCESSIBILITY,Design,150,234,195249,89758,79357
10X115I.S. 447 - BRONXSCA CIP RESOAFY16 RESO A IP SURVEILLANCE CAMERA INSTALLATION,Scope,120,62,0,7018,7018
10X137I.S. 391 - BRONXSCA CIPIP DIGITAL VIDEO SURVEILLANCE SYSTEM,Scope,123,84,8969,2917,2917
10X137M.S./H.S. 225 - BRONXSCA CIP RESOAFY15 RESO A GREEN ROOF,Scope,138,298,0,28421,28421
10X137M.S./H.S. 225 - BRONXSCA CIP RESOAFY15 RESO A GREEN ROOF,Design,153,286,152100,85158,75719
10X141M.S./H.S. 141 - BRONXSCA CIP RESOAFY16 RESO A AUDITORIUM UPGRADE,Scope,123,87,0,18991,18991
10X141M.S./H.S. 141 - BRONXSCA CIP RESOAFY16 RESO A AUDITORIUM UPGRADE,Design,153,91,54000,69985,68382
10X143I.S. 244 - BRONXSCA CIPACCESS RAMP & WALL/FLOOD/ROOFS/PARAPETS,Scope,121,162,81156,92673,91350
10X143I.S. 244 - BRONXSCA CIPACCESS RAMP & WALL/FLOOD/ROOFS/PARAPETS,Design,153,191,317975,241082,241082
10X143I.S. 244 - BRONXSCA CIPACCESS RAMP & WALL/FLOOD/ROOFS/PARAPETS,Construction,539,536,5365716,4971708,4806862
10X143I.S. 244 - BRONXSCA CIPACCESS RAMP & WALL/FLOOD/ROOFS/PARAPETS,"CM, F&E",539,536,465100,499881,499881
10X143I.S. 244 - BRONXSCA CIPPLANYC BOILER/PLANYC CLIMATE CTRL,Scope,154,106,104535,55902,49979
10X143I.S. 244 - BRONXSCA CIPPLANYC BOILER/PLANYC CLIMATE CTRL,Design,152,245,418140,91483,76183
10X143I.S. 244 - BRONXDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,73,73,50000,50000,49625
10X205P.S. 205 FIORELLO LAGUARDIADIIT - RESOAFY16 RESO A TECHNOLOGY,Purch & Install,22,83,75000,74437,74437
10X254I.S. 254 - BRONXSCA CIPFACADE/ROOFS,Scope,137,123,54000,97522,90852
10X254I.S. 254 - BRONXSCA CIPFACADE/ROOFS,Design,157,168,216000,248955,199945
2M464P.S. 464 - MANHATTANSCA CapacityNEW SCHOOL,Scope,168,175,965589,890156,890156
2M464P.S. 464 - MANHATTANSCA CapacityNEW SCHOOL,Design,196,598,3089886,1834433,1456157
2M471PRE-K CENTER @ 355 EAST 76 STPRE-KLEASE,Scope,30,78,550085,289748,152544
2M474PRE-K CENTER @ 252 EAST 57 STRPRE-KLEASE,Scope,17,17,138335,190567,190567
2M475HEALTH PROF & HUMAN  SVCSSCA Emergency LightiLL 41/16 COMPLIANCE,Scope,0,0,720,264,264
2M475HEALTH PROF & HUMAN  SVCSSCA Emergency LightiLL 41/16 COMPLIANCE,Design,45,45,2600,7015,7015
2M480VANGUARD HS - MANHATTANDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,245,86,35000,34709,34709
2M480URBAN ACADEMY LABORATORY HS -DIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,245,86,35000,34372,34372
2M480MANHATTAN INTERNATIONAL HS - MDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,30,79,35000,34736,34736
2M520BERGTRAUM HS - MANHATTANSCA CIPLIBRARY UPGRADE,Scope,122,108,34425,53698,53698
2M520BERGTRAUM HS - MANHATTANSCA CIPLIBRARY UPGRADE,Design,143,143,137700,215095,214892
2M520BERGTRAUM HS - MANHATTANSCA CIPSCIENCE LAB UPGRADE/FIRE ALARM SYSTEMS,Scope,106,105,131296,72361,72361
2M520BERGTRAUM HS - MANHATTANSCA CIPSCIENCE LAB UPGRADE/FIRE ALARM SYSTEMS,Design,159,574,518627,425389,307354
2M520THE URBAN ASSEMBLY SCHOOL FORDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,245,105,100000,99249,99249
2M535PARK WEST HS (ECF)SCA CIPC OF O/C OF O VENT/WATER PLANT/BOILER/ENERGY MGMT,Scope,99,251,466259,836280,836280
2M535PARK WEST HS (ECF)SCA CIPC OF O/C OF O VENT/WATER PLANT/BOILER/ENERGY MGMT,Design,162,148,1631911,5291437,4858970
2M535MANHATTAN BRIDGES - MANHATTANSCA CIPIP DIGITAL VIDEO SURVEILLANCE SYSTEM,Scope,126,6,11155,1955,1955
2M535URBAN ASSEMBLY SCHOOL OF DESIGDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,30,37,100000,99094,99094
2M600FASHION INDUSTRIES VOC HS - MSCA CIPACCESSIBILITY,Scope,136,135,49500,31685,31685
2M600FASHION INDUSTRIES VOC HS - MSCA CIPACCESSIBILITY,Design,171,234,198000,168203,154504
2M600FASHION INDUSTRIES VOC HS - MSCA CIPACCESSIBILITY,Construction,364,364,3712500,3456700,2732312
2M600FASHION INDUSTRIES VOC HS - MSCA CIPACCESSIBILITY,"CM, F&E",364,364,231000,177403,175350
2M600FASHION INDUSTRIES VOC HS - MSCA CIPEXTERIOR MASONRY/PARAPETS/FLOOD ELIMINATION,Scope,144,152,229732,97654,97654
2M600FASHION INDUSTRIES VOC HS - MSCA CIPEXTERIOR MASONRY/PARAPETS/FLOOD ELIMINATION,Design,157,259,913667,353974,343837
2M615CHELSEA VOC HS - MANHATTANSCA CIPLOW VOLTAGE ELECTRICAL SYSTEM/ANSUL SYSTEM,Scope,90,67,44938,25690,3308
2M615CHELSEA VOC HS - MANHATTANSCA CIPLOW VOLTAGE ELECTRICAL SYSTEM/ANSUL SYSTEM,Design,189,399,176345,139165,67867
2M620NORMAN THOMAS HS - MANHATTANSCA CIPSCIENCE LAB,Scope,112,174,20385,30765,30765
2M620NORMAN THOMAS HS - MANHATTANSCA CIPSCIENCE LAB,Design,152,174,81540,224207,99547
2M620MURRAY HILL ACADEMY HS - MSCA CIPIP DIGITAL VIDEO SURVEILLANCE SYSTEM,Scope,126,34,10073,2013,2013
2M625HS OF GRAPHIC COMM. ARTS (VOC)SCA CIPPLANYC BOILERS CONVERSION/CLIMATE CONTROL,Scope,154,151,129405,86218,86218
2M625HS OF GRAPHIC COMM. ARTS (VOC)SCA CIPPLANYC BOILERS CONVERSION/CLIMATE CONTROL,Design,154,283,517620,619642,539209
2M625HS OF GRAPHIC COMM. ARTS (VOC)SCA CIPEXT MASONRY/ROOFS/PARAPETS,Scope,144,257,114735,161541,157675
2M625HS OF GRAPHIC COMM. ARTS (VOC)SCA CIPEXT MASONRY/ROOFS/PARAPETS,Design,154,258,458939,503844,396015
2M625STEPHEN T. MATHER BUILDING ARTSCA CIP RESOAFY17 RESO A IP SURVEILLANCE CAMERA INSTALLATION,Scope,123,69,0,15881,15881
2M641M721 SPED - MANHATTANSCA CIPREINFORCE CINDER/FLOORS/ACCESSIBLITY/ELEC UPG/FA,Scope,1047,1056,142513,177662,175356
2M641M721 SPED - MANHATTANSCA CIPREINFORCE CINDER/FLOORS/ACCESSIBLITY/ELEC UPG/FA,Design,302,289,469309,1043056,734073
2M645LIFE SCIENCE SECONDARY SCHOOLSCA CIPHAZARDOUS - FACADE REPAIR,Scope,260,113,38421,19292,19292
2M645LIFE SCIENCE SECONDARY SCHOOLSCA CIPHAZARDOUS - FACADE REPAIR,Design,183,83,153684,77168,77168
2M645LIFE SCIENCE SECONDARY SCHOOLDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,234,90,35000,34737,34737
18K232ARTS & MEDIA PREPARATORY ACADEDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,30,52,80000,79399,79399
18K233P.S. 233 - BROOKLYNSCA CIPMASONRY/CORRODED BEAMS/ROOFS/PARAPETS,Scope,138,137,102637,44482,44311
18K233P.S. 233 - BROOKLYNSCA CIPMASONRY/CORRODED BEAMS/ROOFS/PARAPETS,Design,157,193,404973,163880,163880
18K233P.S. 233 - BROOKLYNDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,259,81,340000,337450,337450
18K235P.S. 235 - BROOKLYNSCA CIPTCU REMOVAL AND PLAYGROUND,Scope,91,64,30000,78244,77705
18K235P.S. 235 - BROOKLYNSCA CIPTCU REMOVAL AND PLAYGROUND,Design,140,253,120000,176086,131819
18K235P.S. 235 - BROOKLYNDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,280,93,100000,99248,99248
18K235P.S. 235 - BROOKLYNDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,280,93,55000,54588,54588
18K242P.S. 235 - BROOKLYNSCA CIPSTRUCTURAL DEFECTS,Scope,135,105,26700,13510,13510
18K242P.S. 235 - BROOKLYNSCA CIPSTRUCTURAL DEFECTS,Design,159,188,97900,66455,66455
18K242P.S. 235 - BROOKLYNSCA CIPSTRUCTURAL DEFECTS,Construction,364,309,1036850,960764,860045
18K242P.S. 235 - BROOKLYNSCA CIPSTRUCTURAL DEFECTS,"CM, F&E",364,309,240300,80894,80894
18K244P.S. 244 - BROOKLYNDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,234,109,50000,49624,49624
18K252MIDDLE SCHOOL FOR ART & PHILOSSCA CIPPLANYC BOILER CONVERSION/CLIMATE CONTROL,Scope,152,165,110626,74555,74555
18K252MIDDLE SCHOOL FOR ART & PHILOSSCA CIPPLANYC BOILER CONVERSION/CLIMATE CONTROL,Design,154,302,442500,501515,419695
18K252MIDDLE SCHOOL FOR ART & PHILOSSCA CIPEXTERIOR MASONRY/PARAPETS,Scope,177,155,115686,17190,17190
18K252I.S. 252SCA Emergency LightiLL 41/16 COMPLIANCE,Scope,0,0,720,123,123
18K252I.S. 252SCA Emergency LightiLL 41/16 COMPLIANCE,Design,0,43,2600,2870,2870
18K252MIDDLE SCHOOL FOR ART & PHILOSDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,99,83,100000,100000,99248
18K279P.S. 279 - BROOKLYNSCA CIPSANDY:INTERIOR/HEAT/ELEC/FLOOD/ELEVATOR/HVAC/FA,Scope,158,154,464552,242552,232456
18K279P.S. 279 - BROOKLYNSCA CIPSANDY:INTERIOR/HEAT/ELEC/FLOOD/ELEVATOR/HVAC/FA,Design,150,52,1577071,916514,762615
18K279P.S. 279 - BROOKLYNDOE- RESOAFY16 RESO A SCIENCE LAB UPGRADES,Construction,323,323,167000,98172,98172
18K285I.S. 285 - BROOKLYNDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,234,117,35000,34737,34737
18K415IT TAKES A VILLAGE ACADEMY - KSCA CIPIP SURVEILLANCE CAMERAS,Scope,125,117,7950,8710,8710
18K415IT TAKES A VILLAGE ACADEMY - KSCA CIPIP SURVEILLANCE CAMERAS,Design,176,14,29150,35033,34970
18K415KURT HAHN EXPED LEARNING SCHSCA CIP RESOAFY15 RESO A GREEN ROOF,Scope,136,157,0,33906,33906
18K415IT TAKES A VILLAGE ACADEMY - KSCA CIP RESOAFY16 RESO A GYMNASIUM UPGRADE,Scope,121,43,0,21817,15804
18K415IT TAKES A VILLAGE ACADEMY - KSCA CIP RESOAFY16 RESO A GYMNASIUM UPGRADE,Design,141,113,24839,63382,63382
18K415IT TAKES A VILLAGE ACADEMY - KSCA CIP RESOAFY16 RESO A GYMNASIUM UPGRADE,Construction,209,184,364311,372653,137075
18K415IT TAKES A VILLAGE ACADEMY - KSCA CIP RESOAFY16 RESO A GYMNASIUM UPGRADE,"CM, F&E",209,184,24839,38962,34747
18K415IT TAKES A VILLAGE ACADEMY - KSCA CIP RESOAFY16 RESO A LOW-VOLTAGE ELECTRICAL SYSTEM,Scope,93,49,0,6306,6306
18K500HS FOR MEDICAL PROFESSIONS - KSCA CIPPLANYC BOILER CONVERSION/PLANYC CLIMATE CTRL/FLOOD,Scope,158,239,123329,104955,104955
18K500HS FOR MEDICAL PROFESSIONS - KSCA CIPPLANYC BOILER CONVERSION/PLANYC CLIMATE CTRL/FLOOD,Design,159,701,493320,377396,363881
30Q122P.S. 122 - QUEENSSCA CIP RESOAFY16 RESO A SOLAR PANELS,Scope,135,73,0,35254,34454
30Q122P.S. 122 - QUEENSDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,238,53,60000,59547,59547
30Q126I.S. 126 - QUEENSSCA CIPIP DIGITAL VIDEO SURVEILLANCE SYSTEM,Scope,126,44,8118,1680,1680
30Q126I.S. 126 - QUEENSDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,30,98,35000,34738,34738
30Q126I.S. 126 - QUEENSDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,30,98,60000,59549,59549
30Q145I.S. 145 - QUEENSSCA CIPPLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL,Scope,154,76,127455,67846,66252
30Q145I.S. 145 - QUEENSSCA CIPPLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL,Design,152,147,509820,111456,96156
30Q150P.S. 150 - QUEENSDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,30,85,105000,104211,104211
30Q151P.S. 151 - QUEENSSCA CIPWATER INFILTRATION/ROOFS/PARAPETS/EXT MASONRY,Scope,140,160,92499,122963,121381
30Q151P.S. 151 - QUEENSSCA CIPWATER INFILTRATION/ROOFS/PARAPETS/EXT MASONRY,Design,158,179,360150,317686,286797
30Q151P.S. 151 - QUEENSSCA CIPTCU REMOVAL/PLAYGROUND REDEVELOPMENT,Scope,184,93,87295,55649,38834
30Q151P.S. 151 - QUEENSSCA CIPTCU REMOVAL/PLAYGROUND REDEVELOPMENT,Design,184,88,349182,115126,105626
